"id","gregorian_date","hijri_date","city_id","fajr","sunrise","dhuhr","asr","maghrib","ishaa"
1,"2025-04-05","6 شوال 1445",1,"04:38:00","06:06:00","12:35:00","16:05:00","18:55:00","20:12:00"
2,"2025-04-05","6 شوال 1445",2,"04:35:00","06:02:00","12:32:00","16:02:00","18:53:00","20:09:00"
3,"2025-04-05","6 شوال 1445",3,"04:36:00","06:03:00","12:33:00","16:03:00","18:55:00","20:10:00"
4,"2025-04-05","6 شوال 1445",4,"04:38:00","06:04:00","12:34:00","16:04:00","18:55:00","20:10:00"
5,"2025-04-05","6 شوال 1445",5,"04:36:00","06:00:00","12:32:00","16:02:00","18:55:00","20:08:00"
6,"2025-04-05","6 شوال 1445",6,"04:40:00","06:08:00","12:36:00","16:06:00","18:56:00","20:13:00"
7,"2025-04-05","6 شوال 1445",7,"04:37:00","06:05:00","12:34:00","16:04:00","18:55:00","20:11:00"
8,"2025-04-05","6 شوال 1445",8,"04:33:00","06:00:00","12:30:00","16:01:00","18:52:00","20:08:00"
9,"2025-04-05","6 شوال 1445",9,"04:35:00","06:03:00","12:33:00","16:03:00","18:54:00","20:10:00"
10,"2025-04-05","6 شوال 1445",10,"04:34:00","06:03:00","12:31:00","16:02:00","18:52:00","20:09:00"
11,"2025-04-05","6 شوال 1445",11,"04:35:00","06:04:00","12:33:00","16:03:00","18:53:00","20:10:00"
12,"2025-04-05","6 شوال 1445",12,"04:33:00","06:02:00","12:31:00","16:02:00","18:53:00","20:10:00"
13,"2025-04-05","6 شوال 1445",13,"04:34:00","06:04:00","12:33:00","16:03:00","18:53:00","20:11:00"
14,"2025-04-05","6 شوال 1445",14,"04:30:00","06:00:00","12:31:00","16:02:00","18:53:00","20:11:00"
15,"2025-04-05","6 شوال 1445",15,"04:29:00","05:57:00","12:29:00","16:00:00","18:52:00","20:09:00"
16,"2025-04-05","6 شوال 1445",16,"04:33:00","06:03:00","12:32:00","16:03:00","18:53:00","20:11:00"
17,"2025-04-05","6 شوال 1445",17,"04:32:00","06:02:00","12:32:00","16:03:00","18:53:00","20:11:00"
18,"2025-04-05","6 شوال 1445",18,"04:29:00","05:56:00","12:29:00","16:00:00","18:53:00","20:08:00"
19,"2025-04-05","6 شوال 1445",19,"04:29:00","05:59:00","12:29:00","16:00:00","18:50:00","20:09:00"
20,"2025-04-05","6 شوال 1445",20,"04:29:00","05:59:00","12:29:00","16:00:00","18:50:00","20:09:00"
21,"2025-04-05","6 شوال 1445",21,"04:32:00","06:02:00","12:31:00","16:02:00","18:52:00","20:10:00"
22,"2025-04-05","6 شوال 1445",22,"04:29:00","06:00:00","12:30:00","16:01:00","18:52:00","20:10:00"
